date,open,high,low,close,volume
2018-01-02,72.19,74.27,71.72,74.1,7905059.0
2018-01-03,74.05,74.84,73.33,74.66,6639972.0
2018-01-04,75.0,75.07,73.56,73.9,5074584.0
2018-01-05,74.17,74.54,73.03,74.52,7901116.0
2018-01-08,74.34,74.72,73.44,74.4,5858473.0
2018-01-09,74.61,78.68,74.57,78.1,14824140.0
2018-01-10,78.1,78.87,77.01,78.71,10150440.0
2018-01-11,78.7,79.68,77.87,79.06,7872939.0
2018-01-12,79.34,79.4,78.65,79.02,6366180.0
2018-01-16,79.75,81.59,79.52,80.25,11750181.0
2018-01-17,80.71,82.07,80.21,81.74,11162836.0
2018-01-18,81.47,81.65,80.77,81.17,8527500.0
2018-01-19,81.3,81.53,80.37,80.98,7920878.0
2018-01-22,81.31,82.05,81.05,81.41,7464539.0
2018-01-23,81.23,82.18,80.91,80.95,7198762.0
2018-01-24,81.29,82.07,80.58,81.3,4530477.0
2018-01-25,81.58,81.84,80.85,81.19,4708011.0
2018-01-26,81.96,85.49,81.88,85.46,14617227.0
2018-01-29,85.12,89.54,85.12,88.8,19411599.0
2018-01-30,88.02,88.33,86.27,87.29,14001202.0
2018-01-31,86.6,87.1,83.29,83.8,12790776.0
2018-02-01,83.2,84.16,81.18,83.49,7305068.0
2018-02-02,82.65,83.34,81.48,81.73,9356342.0
2018-02-05,81.4,82.5,78.34,78.37,10810406.0
2018-02-06,77.35,80.61,76.9,80.38,13287445.0
2018-02-07,79.67,84.58,79.35,82.76,20315603.0
2018-02-08,82.44,82.85,78.07,78.22,13853717.0
2018-02-09,78.9,79.95,76.02,79.32,13746392.0
2018-02-12,79.77,81.42,79.63,80.14,10030660.0
2018-02-13,79.57,81.09,78.65,80.79,6596814.0
2018-02-14,80.2,82.29,79.98,81.82,7063271.0
2018-02-15,82.22,82.3,81.49,81.55,7159717.0
2018-02-16,81.45,82.33,80.61,80.7,7548648.0
2018-02-20,80.21,81.73,80.21,80.94,7229281.0
2018-02-21,80.9,81.93,80.3,80.69,6956866.0
2018-02-22,80.73,81.13,79.18,79.4,8382198.0
2018-02-23,79.82,80.94,79.29,80.91,5625953.0
2018-02-26,81.26,81.93,80.2,81.79,6394449.0
2018-02-27,81.78,82.04,80.3,80.36,6748125.0
2018-02-28,80.49,80.7,78.69,78.73,7559487.0
2018-03-01,78.94,79.82,77.03,77.53,8267506.0
2018-03-02,76.84,78.89,76.4,78.69,6625458.0
2018-03-05,78.22,78.68,77.14,77.92,10483328.0
2018-03-06,78.6,80.03,78.47,79.32,7919399.0
2018-03-07,78.74,80.15,78.12,79.99,6715155.0
2018-03-08,79.96,80.67,79.32,80.07,5707750.0
2018-03-09,80.5,81.05,79.99,80.72,7025572.0
2018-03-12,80.93,81.34,80.42,81.06,7515667.0
2018-03-13,81.13,82.72,81.12,81.72,7608886.0
2018-03-14,82.05,82.57,80.89,81.1,6527326.0
2018-03-15,80.56,80.88,79.27,79.51,5946648.0
2018-03-16,79.92,80.9,79.4,79.74,9564889.0
2018-03-19,79.31,79.5,76.3,77.18,8917267.0
2018-03-20,77.38,77.7,76.71,76.92,5798289.0
2018-03-21,76.74,77.44,76.21,76.49,5826533.0
2018-03-22,75.85,76.76,75.04,75.57,7860953.0
2018-03-23,75.38,75.62,72.73,72.84,9268882.0
2018-03-26,74.17,75.71,73.57,75.54,7370885.0
2018-03-27,75.98,76.15,73.55,74.11,6370918.0
2018-03-28,74.19,75.74,73.9,74.78,6487930.0
2018-03-29,75.14,76.19,74.61,75.39,5694916.0
2018-04-02,74.93,75.09,71.87,73.14,8232143.0
2018-04-03,73.44,73.96,72.03,73.75,5987040.0
2018-04-04,72.95,75.68,72.81,75.4,7852616.0
2018-04-05,75.93,75.98,74.18,74.82,6183043.0
2018-04-06,74.28,75.3,72.71,73.41,6439529.0
2018-04-09,73.88,75.31,73.15,73.8,6383616.0
2018-04-10,74.57,75.48,73.79,75.02,5909128.0
2018-04-11,74.69,75.21,74.21,74.33,7850138.0
2018-04-12,74.83,76.25,74.83,75.29,4857713.0
2018-04-13,75.56,75.84,74.86,75.22,4432085.0
2018-04-16,75.87,75.98,74.24,74.69,4720527.0
2018-04-17,74.95,75.94,74.59,75.47,4351909.0
2018-04-18,75.64,76.07,75.25,75.68,3043694.0
2018-04-19,75.42,75.92,73.83,74.44,3958155.0
2018-04-20,74.4,74.42,73.18,73.7,5201712.0
2018-04-23,74.08,74.32,73.35,74.01,5014256.0
2018-04-24,74.08,74.3,72.26,72.72,5562456.0
2018-04-25,72.79,73.56,72.47,73.25,6335525.0
2018-04-26,73.28,74.32,72.09,73.9,6341232.0
2018-04-27,73.91,74.19,73.1,73.86,5030745.0
2018-04-30,74.06,74.22,72.17,72.23,8268201.0
2018-05-01,72.29,72.83,71.78,72.56,6180814.0
2018-05-02,68.26,68.76,66.02,66.88,25822614.0
2018-05-03,66.6,66.84,64.27,65.19,15060770.0
2018-05-04,65.08,65.71,64.71,65.42,9150482.0
2018-05-07,65.71,65.94,64.43,64.88,13201067.0
2018-05-08,64.99,65.67,64.54,65.22,8973282.0
2018-05-09,65.27,66.09,64.63,65.69,7861003.0
2018-05-10,66.01,66.1,65.21,65.37,6614209.0
2018-05-11,65.22,66.75,64.84,66.16,10014066.0
2018-05-14,66.36,67.68,66.19,67.05,6173683.0
2018-05-15,66.8,67.56,66.64,66.99,7483526.0
2018-05-16,67.0,67.98,67.0,67.55,6603000.0
2018-05-17,67.1,68.13,67.1,67.6,5946194.0
2018-05-18,67.59,68.49,67.34,68.02,6336367.0
2018-05-21,68.15,68.57,67.25,67.63,6006526.0
2018-05-22,67.97,68.69,67.51,67.83,6210201.0
2018-05-23,67.36,68.38,67.35,68.17,5093159.0
2018-05-24,68.04,68.29,67.08,67.53,4892294.0
2018-05-25,67.65,67.93,67.0,67.38,4864615.0
2018-05-29,67.0,67.56,66.71,67.33,7820160.0
2018-05-30,67.66,67.79,67.31,67.69,5931409.0
2018-05-31,68.1,68.15,67.21,67.4,12447285.0
2018-06-01,67.62,68.43,67.52,68.3,5128621.0
2018-06-04,68.19,70.8,67.95,70.21,11726900.0
2018-06-05,70.25,70.73,69.27,70.06,7821156.0
2018-06-06,70.17,71.97,69.69,71.97,12376631.0
2018-06-07,71.88,71.95,71.1,71.9,7604854.0
2018-06-08,71.45,72.28,71.35,71.91,5843133.0
2018-06-11,71.79,72.0,71.11,71.83,5425535.0
2018-06-12,71.76,71.98,70.99,71.68,6977477.0
2018-06-13,71.9,71.98,71.0,71.29,5076991.0
2018-06-14,71.0,71.62,70.51,71.15,5226297.0
2018-06-15,71.1,71.41,69.91,70.23,11517991.0
2018-06-18,69.77,69.94,68.92,69.06,6568588.0
2018-06-19,68.46,70.99,68.16,70.94,8634030.0
2018-06-20,70.96,71.57,70.35,71.46,6010621.0
2018-06-21,71.47,71.69,70.78,71.52,6548370.0
2018-06-22,71.69,71.76,70.83,71.07,6118885.0
2018-06-25,70.72,71.64,70.55,71.14,6019490.0
2018-06-26,71.26,72.07,69.71,70.25,6538329.0
2018-06-27,70.34,70.78,68.6,68.64,5818576.0
2018-06-28,69.85,70.5,69.08,70.33,7977129.0
2018-06-29,70.48,71.5,70.29,70.84,6215662.0
2018-07-02,70.7,71.38,70.3,71.28,4086705.0
2018-07-03,71.4,71.94,71.09,71.33,3147727.0
2018-07-05,71.34,72.89,71.28,72.81,5755437.0
2018-07-06,73.2,75.44,73.0,75.21,8859846.0
2018-07-09,75.45,77.19,75.21,76.64,8546543.0
2018-07-10,77.03,77.44,76.24,76.75,8380796.0
2018-07-11,76.5,76.66,75.69,76.02,6138750.0
2018-07-12,76.56,78.17,75.93,77.6,8956340.0
2018-07-13,77.4,77.89,77.03,77.38,4035933.0
2018-07-16,77.58,77.85,76.73,77.26,3093460.0
2018-07-17,77.11,77.76,76.93,77.2,4424705.0
2018-07-18,77.09,77.78,76.82,77.12,5186798.0
2018-07-19,76.99,77.73,76.08,77.05,6488439.0
2018-07-20,76.36,77.7,76.36,77.37,5804302.0
2018-07-23,77.09,77.94,76.96,77.38,5119847.0
2018-07-24,77.75,78.59,77.4,77.65,8686488.0
2018-07-25,77.47,79.0,77.29,78.92,8011924.0
2018-07-26,77.77,79.04,76.1,78.16,14492540.0
2018-07-27,78.13,78.95,76.63,76.81,9455897.0
2018-07-30,76.47,76.96,75.84,76.32,5721162.0
2018-07-31,76.59,78.08,76.19,77.83,6615109.0
2018-08-01,77.5,78.35,77.38,77.9,4246235.0
2018-08-02,77.69,78.16,76.86,77.63,5629355.0
